,lon,-90.7964,532,39230,21259450,0
10110001,lon,-77.8167,103,124,88692,1
110000,lon,-84.7667,367,668,513796,1
110001,lon,-84.6333,371,644,510484,1
10110000,lon,-77.9667,112,138,97946,1
1101001,lat,43.98,187,244,182868,0
010,lat,48.0667,530,4518,2782170,1
01000000,lon,-123.3572,110,153,97860,0
101011,lon,149.5242,247,420,284780,1
110110100,lat,43.9522,72,85,59410,0
110110101,lat,43.9806,74,86,61114,0
10101,lat,-33.535,344,868,550442,1
10100,lat,-22.2562,291,1202,562942,1
010100010,lat,55.2667,72,83,59266,0
010100011,lat,54.5,77,89,63793,0
10011111,lon,-79.9167,125,150,110730,0
10011110,lon,-79.95,120,142,105370,0
011101100,lat,50.43,45,55,36055,0
011101101,lat,50.43,52,63,41966,0
100100100,lat,36.2469,62,76,50702,1
100100101,lat,36.15,69,80,56620,1
010110000,lat,48.6833,66,88,54718,0
0,lat,41.4917,550,17365,9952980,0
100111111,lat,40.1692,63,75,51445,0
100111110,lat,40.2686,61,75,49835,0
000100110,lat,38.4883,58,68,47014,1
000100111,lat,38.45,50,65,40480,1
110001100,lat,42.3264,67,80,55000,0
100010100,lat,26.6928,56,64,45194,0
00110110,lon,-98.315,116,146,102346,0
101111110,lat,38.63,86,123,74088,0
111001110,lat,49.2,81,95,67555,0
000011011,lat,35.6,45,50,35830,0
0001000,lat,38.0167,238,339,255152,1
0001001,lat,37.9567,171,256,169336,1
001100100,lat,36.0719,55,64,44400,0
001100101,lat,36.0642,50,61,40280,0
000110001,lat,37.6094,54,60,43390,1
000110000,lat,37.7686,36,42,28522,1
01100011,lon,-103.2683,96,114,81754,0
01000001,lon,-123.2206,122,144,107358,0
000001000,lat,35.1503,63,72,51256,0
000001001,lat,34.5958,67,76,54732,0
1000110,lat,34.6531,193,326,204538,0
1000111,lat,34.3667,223,304,231312,0
011,lat,45.8167,574,4219,2841456,1
001010100,lat,29.9689,58,71,47188,0
001010101,lat,30.0333,60,74,48970,0
111011110,lat,49.933,90,109,76240,0
111011111,lat,50.05,83,104,69952,0
1011011,lat,40.1197,211,303,218693,0
011011010,lat,45.1539,58,72,47246,0
011011011,lat,45.2203,65,79,53315,0
001110101,lat,36.2747,56,65,45250,0
001110100,lat,36.2,61,69,49469,0
011010011,lat,43.0431,53,62,42706,0
011010010,lat,42.9131,57,65,46045,0
00001111,lon,-106.45,60,81,49390,1
00001110,lon,-106.3494,95,127,82145,1
101011100,lat,-31.5086,46,51,36656,1
101011101,lat,-30.3442,48,54,38362,1
11111111,lon,136.217,172,246,168602,0
11111110,lon,129.717,184,243,179762,0
000101010,lat,40.7264,62,74,50578,0
000101011,lat,40.54,54,62,43498,0
110011100,lat,42.4167,64,76,52314,0
000100011,lat,38.535,68,81,55878,0
000100010,lat,38.4917,55,80,45280,0
1101,lon,-78.65,552,2181,1607602,1
010111111,lat,53.57,51,62,41122,0
010111110,lat,54.15,67,81,55067,0
1000011,lat,34.3478,216,295,222130,1
111111000,lat,58.567,86,101,72196,0
111011011,lat,49.8,89,102,74778,0
01101010,lon,-93.0989,106,144,93374,1
01101011,lon,-92.8106,107,142,94034,1
101111101,lat,35.5,84,134,73306,0
11000111,lon,-80.78,1,154,1614,0
111011010,lat,49.75,111,146,97966,0
001001,lon,-100.2831,348,571,453478,1
001000,lon,-99.1861,324,530,408970,1
101111100,lat,35.27,106,136,92526,0
0111110,lat,49.93,209,262,208058,0
0111111,lat,49.68,213,309,222037,0
000011100,lat,35.0217,43,59,34657,1
000011101,lat,35.0028,62,68,50206,1
110011111,lat,43.0167,66,78,54058,0
110011110,lat,42.9667,63,72,51256,0
