,lon,-90.7964
0,lat,41.4917
00,lon,-104.6822
000,lat,37.0856
0000,lon,-112.8003
00000,lat,34.0697
000000,lon,-117.9789
0000000,lat,21.1539
00000000,lon,-155.9117
000000000,lat,20.7583
0000000000,lon,-156.5631
0000000001,lon,-156.4286
000000001,lat,19.6333
0000000010,lon,-155.3589
0000000011,lon,-155.5833
00000001,lon,-157.8372
000000010,lat,21.6883
0000000100,lon,-158.05
0000000101,lon,-159.4969
000000011,lat,33.7611
0000000110,lon,-157.7167
0000000111,lon,-118.415
0000001,lat,33.2
00000010,lon,-116.5208
000000100,lat,32.7675
0000001000,lon,-117.0858
0000001001,lon,-116.9167
000000101,lat,32.6881
0000001010,lon,-114.635
0000001011,lon,-114.8839
00000011,lon,-116.9814
000000110,lat,33.7167
0000001100,lon,-117.4858
0000001101,lon,-117.4386
000000111,lat,33.6617
0000001110,lon,-116.35
0000001111,lon,-116.2153
000001,lon,-118.4547
0000010,lat,36.0678
00000100,lon,-119.3539
000001000,lat,35.1503
0000010000,lon,-119.8667
0000010001,lon,-120.6831
000001001,lat,34.5958
0000010010,lon,-119.1167
0000010011,lon,-118.8333
00000101,lon,-120.45
000001010,lat,36.6594
0000010100,lon,-121.4917
0000010101,lon,-121.7667
000001011,lat,36.4108
0000010110,lon,-119.6289
0000010111,lon,-119.0883
0000011,lat,34.8928
00000110,lon,-117.3833
000001100,lat,34.2211
0000011000,lon,-117.9078
0000011001,lon,-118.0939
000001101,lat,34.2442
0000011010,lon,-116.9131
0000011011,lon,-114.3667
00000111,lon,-115.4278
000001110,lat,35.7706
0000011100,lon,-117.6931
0000011101,lon,-116.8833
000001111,lat,36.0469
0000011110,lon,-114.0833
0000011111,lon,-114.4833
00001,lat,33.8
000010,lon,-109.3092
0000100,lat,32.6231
00001000,lon,-110.7317
000010000,lat,31.95
0000100000,lon,-111.2833
0000100001,lon,-110.9553
000010001,lat,31.6072
0000100010,lon,-109.9289
0000100011,lon,-109.95
00001001,lon,-111.7117
000010010,lat,33.3833
0000100100,lon,-112.0833
0000100101,lon,-112.0667
000010011,lat,33.3
0000100110,lon,-110.8667
0000100111,lon,-111.0972
0000101,lat,32.2622
00001010,lon,-107.25
000010100,lat,29.33
0000101000,lon,-108.62
0000101001,lon,-108.3247
000010101,lat,28.83
0000101010,lon,-105.4
0000101011,lon,-106.2833
00001011,lon,-107.2322
000010110,lat,32.9167
0000101100,lon,-108.4333
0000101101,lon,-108.3167
000010111,lat,32.9308
0000101110,lon,-106.4833
0000101111,lon,-105.8225
000011,lon,-108.3636
0000110,lat,34.9067
